移动,104.16.63.120,31 MB,4045 kB/s,195 毫秒,SEA,2025-02-19 12:50:58
移动,172.66.46.253,29 MB,3788 kB/s,169 毫秒,SEA,2025-02-19 12:52:52
移动,104.19.173.9,29 MB,3804 kB/s,166 毫秒,SEA,2025-02-19 12:52:52
移动,104.17.30.144,31 MB,4051 kB/s,190 毫秒,SEA,2025-02-19 12:50:58
移动,104.17.254.40,27 MB,3556 kB/s,172 毫秒,SEA,2025-02-19 12:45:51
联通,172.64.152.206,22 MB,2915 kB/s,181 毫秒,LAX,2025-02-19 12:45:50
联通,104.20.126.30,28 MB,3658 kB/s,172 毫秒,LAX,2025-02-19 12:52:45
联通,104.20.255.15,28 MB,3681 kB/s,185 毫秒,LAX,2025-02-19 12:55:00
联通,104.20.255.79,25 MB,3299 kB/s,178 毫秒,LAX,2025-02-19 12:53:45
联通,104.19.207.160,30 MB,3840 kB/s,185 毫秒,LAX,2025-02-19 12:47:00
电信,104.21.62.140,28 MB,3708 kB/s,173 毫秒,LHR,2025-02-19 12:55:53
电信,104.21.126.113,21 MB,2717 kB/s,220 毫秒,LHR,2025-02-19 12:51:29
电信,172.67.157.144,30 MB,3957 kB/s,167 毫秒,LHR,2025-02-19 12:47:46
电信,172.67.254.165,28 MB,3679 kB/s,181 毫秒,LHR,2025-02-19 12:55:53
电信,104.21.63.157,36 MB,4670 kB/s,233 毫秒,LHR,2025-02-19 12:43:12
